ref,phraseNode,clauseNode,verse,rareTerms,phraseType,clause,verb,nouns,phrase,prepCt,nounCt,prepositions,nounTypes,notes
"('2_Chronicles', 27, 9)",855243,604103,וַיִּשְׁכַּ֤ב יֹותָם֙ עִם־אֲבֹתָ֔יו וַיִּקְבְּר֥וּ אֹתֹ֖ו בְּעִ֣יר דָּוִ֑יד וַיִּמְלֹ֛ךְ אָחָ֥ז בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JWTM/', 'Jotham')",Cmpl,וַיִּשְׁכַּ֤ב יֹותָם֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('2_Kings', 15, 7)",723654,554975,וַיִּשְׁכַּ֤ב עֲזַרְיָה֙ עִם־אֲבֹתָ֔יו וַיִּקְבְּר֥וּ אֹתֹ֛ו עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ יֹותָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב עֲזַרְיָה֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('1_Kings', 11, 43)",712139,550890,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו וַיִּ֨קָּבֵ֔ר בְּעִ֖יר דָּוִ֣ד אָבִ֑יו וַיִּמְלֹ֛ךְ רְחַבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ ס ,,Cmpl,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו,עִם־אֲבֹתָ֔יו ,1,1,עמ,agent, 
"('1_Kings', 14, 31)",713643,551405,וַיִּשְׁכַּ֨ב רְחַבְעָ֜ם עִם־אֲבֹתָ֗יו וַיִּקָּבֵ֤ר עִם־אֲבֹתָיו֙ בְּעִ֣יר דָּוִ֔ד וְשֵׁ֣ם אִמֹּ֔ו נַעֲמָ֖ה הָעַמֹּנִ֑ית וַיִּמְלֹ֛ךְ אֲבִיָּ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֨ב רְחַבְעָ֜ם עִם־אֲבֹתָ֗יו ,יִּשְׁכַּ֨ב,אֲבֹתָ֗יו,עִם־אֲבֹתָ֗יו ,1,1,עמ,agent, 
"('Deuteronomy', 22, 28)",665209,535047,כִּֽי־יִמְצָ֣א אִ֗ישׁ נַעֲרָ֤ה בְתוּלָה֙ אֲשֶׁ֣ר לֹא־אֹרָ֔שָׂה וּתְפָשָׂ֖הּ וְשָׁכַ֣ב עִמָּ֑הּ וְנִמְצָֽאוּ׃ ,,Cmpl,וְשָׁכַ֣ב עִמָּ֑הּ ,שָׁכַ֣ב,עִמָּ֑הּ,עִמָּ֑הּ ,1,1,עמ,?, 
"('Genesis', 39, 14)",618632,519179,וַתִּקְרָ֞א לְאַנְשֵׁ֣י בֵיתָ֗הּ וַתֹּ֤אמֶר לָהֶם֙ לֵאמֹ֔ר רְא֗וּ הֵ֥בִיא לָ֛נוּ אִ֥ישׁ עִבְרִ֖י לְצַ֣חֶק בָּ֑נוּ בָּ֤א אֵלַי֙ לִשְׁכַּ֣ב עִמִּ֔י וָאֶקְרָ֖א בְּקֹ֥ול גָּדֹֽול׃ ,,Cmpl,לִשְׁכַּ֣ב עִמִּ֔י ,שְׁכַּ֣ב,עִמִּ֔י,עִמִּ֔י ,1,1,עמ,?, 
"('2_Samuel', 11, 4)",700560,546933,וַיִּשְׁלַח֩ דָּוִ֨ד מַלְאָכִ֜ים וַיִּקָּחֶ֗הָ וַתָּבֹ֤וא אֵלָיו֙ וַיִּשְׁכַּ֣ב עִמָּ֗הּ וְהִ֥יא מִתְקַדֶּ֖שֶׁת מִטֻּמְאָתָ֑הּ וַתָּ֖שָׁב אֶל־בֵּיתָֽהּ׃ ,,Cmpl,וַיִּשְׁכַּ֣ב עִמָּ֗הּ ,יִּשְׁכַּ֣ב,עִמָּ֗הּ,עִמָּ֗הּ ,1,1,עמ,?, 
"('Genesis', 30, 16)",614853,517879,וַיָּבֹ֨א יַעֲקֹ֣ב מִן־הַשָּׂדֶה֮ בָּעֶרֶב֒ וַתֵּצֵ֨א לֵאָ֜ה לִקְרָאתֹ֗ו וַתֹּ֨אמֶר֙ אֵלַ֣י תָּבֹ֔וא כִּ֚י שָׂכֹ֣ר שְׂכַרְתִּ֔יךָ בְּדוּדָאֵ֖י בְּנִ֑י וַיִּשְׁכַּ֥ב עִמָּ֖הּ בַּלַּ֥יְלָה הֽוּא׃ ,,Cmpl,וַיִּשְׁכַּ֥ב עִמָּ֖הּ בַּלַּ֥יְלָה הֽוּא׃ ,יִּשְׁכַּ֥ב,עִמָּ֖הּ,עִמָּ֖הּ ,1,1,עמ,?, 
"('Genesis', 19, 32)",610372,516361,לְכָ֨ה נַשְׁקֶ֧ה אֶת־אָבִ֛ינוּ יַ֖יִן וְנִשְׁכְּבָ֣ה עִמֹּ֑ו וּנְחַיֶּ֥ה מֵאָבִ֖ינוּ זָֽרַע׃ ,,Cmpl,וְנִשְׁכְּבָ֣ה עִמֹּ֑ו ,נִשְׁכְּבָ֣ה,עִמֹּ֑ו,עִמֹּ֑ו ,1,1,עמ,?, 
"('Genesis', 19, 34)",610411,516374,וַֽיְהִי֙ מִֽמָּחֳרָ֔ת וַתֹּ֤אמֶר הַבְּכִירָה֙ אֶל־הַצְּעִירָ֔ה הֵן־שָׁכַ֥בְתִּי אֶ֖מֶשׁ אֶת־אָבִ֑י נַשְׁקֶ֨נּוּ יַ֜יִן גַּם־הַלַּ֗יְלָה וּבֹ֨אִי֙ שִׁכְבִ֣י עִמֹּ֔ו וּנְחַיֶּ֥ה מֵאָבִ֖ינוּ זָֽרַע׃ ,,Cmpl,שִׁכְבִ֣י עִמֹּ֔ו ,שִׁכְבִ֣י,עִמֹּ֔ו,עִמֹּ֔ו ,1,1,עמ,?, 
"('Genesis', 19, 35)",610426,516378,וַתַּשְׁקֶ֜יןָ גַּ֣ם בַּלַּ֧יְלָה הַה֛וּא אֶת־אֲבִיהֶ֖ן יָ֑יִן וַתָּ֤קָם הַצְּעִירָה֙ וַתִּשְׁכַּ֣ב עִמֹּ֔ו וְלֹֽא־יָדַ֥ע בְּשִׁכְבָ֖הּ וּבְקֻמָֽהּ׃ ,,Cmpl,וַתִּשְׁכַּ֣ב עִמֹּ֔ו ,תִּשְׁכַּ֣ב,עִמֹּ֔ו,עִמֹּ֔ו ,1,1,עמ,?, 
"('2_Samuel', 12, 24)",701320,547182,וַיְנַחֵ֣ם דָּוִ֗ד אֵ֚ת בַּת־שֶׁ֣בַע אִשְׁתֹּ֔ו וַיָּבֹ֥א אֵלֶ֖יהָ וַיִּשְׁכַּ֣ב עִמָּ֑הּ וַתֵּ֣לֶד בֵּ֗ן וַתִּקְרָ֤א אֶת־שְׁמֹו֙ שְׁלֹמֹ֔ה וַיהוָ֖ה אֲהֵבֹֽו׃ ,,Cmpl,וַיִּשְׁכַּ֣ב עִמָּ֑הּ ,יִּשְׁכַּ֣ב,עִמָּ֑הּ,עִמָּ֑הּ ,1,1,עמ,?, 
"('Exodus', 22, 15)",630511,523201,וְכִֽי־יְפַתֶּ֣ה אִ֗ישׁ בְּתוּלָ֛ה אֲשֶׁ֥ר לֹא־אֹרָ֖שָׂה וְשָׁכַ֣ב עִמָּ֑הּ מָהֹ֛ר יִמְהָרֶ֥נָּה לֹּ֖ו לְאִשָּֽׁה׃ ,,Cmpl,וְשָׁכַ֣ב עִמָּ֑הּ ,שָׁכַ֣ב,עִמָּ֑הּ,עִמָּ֑הּ ,1,1,עמ,?, 
"('2_Samuel', 13, 11)",701614,547283,וַתַּגֵּ֥שׁ אֵלָ֖יו לֶֽאֱכֹ֑ל וַיַּֽחֲזֶק־בָּהּ֙ וַיֹּ֣אמֶר לָ֔הּ בֹּ֛ואִי שִׁכְבִ֥י עִמִּ֖י אֲחֹותִֽי׃ ,,Cmpl,שִׁכְבִ֥י עִמִּ֖י ,שִׁכְבִ֥י,עִמִּ֖י,עִמִּ֖י ,1,1,עמ,?, 
"('Genesis', 39, 7)",618525,519139,וַיְהִ֗י אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה וַתִּשָּׂ֧א אֵֽשֶׁת־אֲדֹנָ֛יו אֶת־עֵינֶ֖יהָ אֶל־יֹוסֵ֑ף וַתֹּ֖אמֶר שִׁכְבָ֥ה עִמִּֽי׃ ,,Cmpl,שִׁכְבָ֥ה עִמִּֽי׃ ,שִׁכְבָ֥ה,עִמִּֽי,עִמִּֽי׃ ,1,1,עמ,?, 
"('Deuteronomy', 22, 23)",665124,535020,כִּ֤י יִהְיֶה֙ נַעֲרָ֣ה בְתוּלָ֔ה מְאֹרָשָׂ֖ה לְאִ֑ישׁ וּמְצָאָ֥הּ אִ֛ישׁ בָּעִ֖יר וְשָׁכַ֥ב עִמָּֽהּ׃ ,,Cmpl,וְשָׁכַ֥ב עִמָּֽהּ׃ ,שָׁכַ֥ב,עִמָּֽהּ,עִמָּֽהּ׃ ,1,1,עמ,?, 
"('Deuteronomy', 22, 25)",665163,535031,וְֽאִם־בַּשָּׂדֶ֞ה יִמְצָ֣א הָאִ֗ישׁ אֶת־הַֽנַּעֲרָה֙ הַמְאֹ֣רָשָׂ֔ה וְהֶחֱזִֽיק־בָּ֥הּ הָאִ֖ישׁ וְשָׁכַ֣ב עִמָּ֑הּ וּמֵ֗ת הָאִ֛ישׁ אֲשֶׁר־שָׁכַ֥ב עִמָּ֖הּ לְבַדֹּֽו׃ ,,Cmpl,וְשָׁכַ֣ב עִמָּ֑הּ ,שָׁכַ֣ב,עִמָּ֑הּ,עִמָּ֑הּ ,1,1,עמ,?, 
"('Deuteronomy', 22, 25)",665169,535033,וְֽאִם־בַּשָּׂדֶ֞ה יִמְצָ֣א הָאִ֗ישׁ אֶת־הַֽנַּעֲרָה֙ הַמְאֹ֣רָשָׂ֔ה וְהֶחֱזִֽיק־בָּ֥הּ הָאִ֖ישׁ וְשָׁכַ֣ב עִמָּ֑הּ וּמֵ֗ת הָאִ֛ישׁ אֲשֶׁר־שָׁכַ֥ב עִמָּ֖הּ לְבַדֹּֽו׃ ,,Cmpl,אֲשֶׁר־שָׁכַ֥ב עִמָּ֖הּ ,שָׁכַ֥ב,עִמָּ֖הּ,עִמָּ֖הּ ,1,1,עמ,?, 
"('Genesis', 39, 12)",618596,519164,וַתִּתְפְּשֵׂ֧הוּ בְּבִגְדֹ֛ו לֵאמֹ֖ר שִׁכְבָ֣ה עִמִּ֑י וַיַּעֲזֹ֤ב בִּגְדֹו֙ בְּיָדָ֔הּ וַיָּ֖נָס וַיֵּצֵ֥א הַחֽוּצָה׃ ,,Cmpl,שִׁכְבָ֣ה עִמִּ֑י ,שִׁכְבָ֣ה,עִמִּ֑י,עִמִּ֑י ,1,1,עמ,?, 
"('1_Kings', 21, 27)",716920,552580,וַיְהִי֩ כִשְׁמֹ֨עַ אַחְאָ֜ב אֶת־הַדְּבָרִ֤ים הָאֵ֨לֶּה֙ וַיִּקְרַ֣ע בְּגָדָ֔יו וַיָּֽשֶׂם־שַׂ֥ק עַל־בְּשָׂרֹ֖ו וַיָּצֹ֑ום וַיִּשְׁכַּ֣ב בַּשָּׂ֔ק וַיְהַלֵּ֖ךְ אַֽט׃ ס ,,Cmpl,וַיִּשְׁכַּ֣ב בַּשָּׂ֔ק ,יִּשְׁכַּ֣ב,שָּׂ֔ק,בַּשָּׂ֔ק ,1,1,ב,?, 
"('Deuteronomy', 24, 12)",665684,535198,וְאִם־אִ֥ישׁ עָנִ֖י ה֑וּא לֹ֥א תִשְׁכַּ֖ב בַּעֲבֹטֹֽו׃ ,"('<BWV/', 'pledge')",Adju,לֹ֥א תִשְׁכַּ֖ב בַּעֲבֹטֹֽו׃ ,תִשְׁכַּ֖ב,עֲבֹטֹֽו,בַּעֲבֹטֹֽו׃ ,1,1,ב,?, 
"('Deuteronomy', 24, 13)",665693,535201,הָשֵׁב֩ תָּשִׁ֨יב לֹ֤ו אֶֽת־הַעֲבֹוט֙ כְּבֹ֣א הַשֶּׁ֔מֶשׁ וְשָׁכַ֥ב בְּשַׂלְמָתֹ֖ו וּבֵֽרֲכֶ֑ךָּ וּלְךָ֙ תִּהְיֶ֣ה צְדָקָ֔ה לִפְנֵ֖י יְהוָ֥ה אֱלֹהֶֽיךָ׃ ס ,"('FLMH/', 'wrapper')",Adju,וְשָׁכַ֥ב בְּשַׂלְמָתֹ֖ו ,שָׁכַ֥ב,שַׂלְמָתֹ֖ו,בְּשַׂלְמָתֹ֖ו ,1,1,ב,?, 
"('2_Samuel', 12, 3)",700949,547059,וְלָרָ֣שׁ אֵֽין־כֹּ֗ל כִּי֩ אִם־כִּבְשָׂ֨ה אַחַ֤ת קְטַנָּה֙ אֲשֶׁ֣ר קָנָ֔ה וַיְחַיֶּ֕הָ וַתִּגְדַּ֥ל עִמֹּ֛ו וְעִם־בָּנָ֖יו יַחְדָּ֑ו מִפִּתֹּ֨ו תֹאכַ֜ל וּמִכֹּסֹ֤ו תִשְׁתֶּה֙ וּבְחֵיקֹ֣ו תִשְׁכָּ֔ב וַתְּהִי־לֹ֖ו כְּבַֽת׃ ,,Cmpl,וּבְחֵיקֹ֣ו תִשְׁכָּ֔ב ,תִשְׁכָּ֔ב,חֵיקֹ֣ו,בְחֵיקֹ֣ו ,1,1,ב,?, 
"('Ruth', 3, 7)",821899,592117,וַיֹּ֨אכַל בֹּ֤עַז וַיֵּשְׁתְּ֙ וַיִּיטַ֣ב לִבֹּ֔ו וַיָּבֹ֕א לִשְׁכַּ֖ב בִּקְצֵ֣ה הָעֲרֵמָ֑ה וַתָּבֹ֣א בַלָּ֔ט וַתְּגַ֥ל מַרְגְּלֹתָ֖יו וַתִּשְׁכָּֽב׃ ,"('<RMH=/', 'heap')",Cmpl,לִשְׁכַּ֖ב בִּקְצֵ֣ה הָעֲרֵמָ֑ה ,שְׁכַּ֖ב,קְצֵ֣ה,בִּקְצֵ֣ה הָעֲרֵמָ֑ה ,1,1,ב,?, 
"('1_Kings', 1, 2)",706985,549138,וַיֹּ֧אמְרוּ לֹ֣ו עֲבָדָ֗יו יְבַקְשׁ֞וּ לַאדֹנִ֤י הַמֶּ֨לֶךְ֙ נַעֲרָ֣ה בְתוּלָ֔ה וְעָֽמְדָה֙ לִפְנֵ֣י הַמֶּ֔לֶךְ וּתְהִי־לֹ֖ו סֹכֶ֑נֶת וְשָׁכְבָ֣ה בְחֵיקֶ֔ךָ וְחַ֖ם לַאדֹנִ֥י הַמֶּֽלֶךְ׃ ,,Cmpl,וְשָׁכְבָ֣ה בְחֵיקֶ֔ךָ ,שָׁכְבָ֣ה,חֵיקֶ֔ךָ,בְחֵיקֶ֔ךָ ,1,1,ב,?, 
"('Jeremiah', 3, 25)",743903,562514,נִשְׁכְּבָ֣ה בְּבָשְׁתֵּ֗נוּ וּֽתְכַסֵּנוּ֮ כְּלִמָּתֵנוּ֒ כִּי֩ לַיהוָ֨ה אֱלֹהֵ֜ינוּ חָטָ֗אנוּ אֲנַ֨חְנוּ֙ וַאֲבֹותֵ֔ינוּ מִנְּעוּרֵ֖ינוּ וְעַד־הַיֹּ֣ום הַזֶּ֑ה וְלֹ֣א שָׁמַ֔עְנוּ בְּקֹ֖ול יְהֹוָ֥ה אֱלֹהֵֽינוּ׃ ס ,,Cmpl,נִשְׁכְּבָ֣ה בְּבָשְׁתֵּ֗נוּ ,נִשְׁכְּבָ֣ה,בָשְׁתֵּ֗נוּ,בְּבָשְׁתֵּ֗נוּ ,1,1,ב,?, 
"('Isaiah', 14, 18)",730738,557433,כָּל־מַלְכֵ֥י גֹויִ֖ם כֻּלָּ֑ם שָׁכְב֥וּ בְכָבֹ֖וד אִ֥ישׁ בְּבֵיתֹֽו׃ ,,Cmpl,כֻּלָּ֑ם שָׁכְב֥וּ בְכָבֹ֖וד ,שָׁכְב֥וּ,כָבֹ֖וד,בְכָבֹ֖וד ,1,1,ב,?, 
"('Psalms', 4, 9)",789190,579020,בְּשָׁלֹ֣ום יַחְדָּו֮ אֶשְׁכְּבָ֪ה וְאִ֫ישָׁ֥ן כִּֽי־אַתָּ֣ה יְהוָ֣ה לְבָדָ֑ד לָ֝בֶ֗טַח תֹּושִׁיבֵֽנִי׃ ,,Adju,בְּשָׁלֹ֣ום יַחְדָּו֮ אֶשְׁכְּבָ֪ה ,אֶשְׁכְּבָ֪ה,שָׁלֹ֣ום,בְּשָׁלֹ֣ום ,1,1,ב,?, 
"('Exodus', 22, 26)",630605,523232,כִּ֣י הִ֤וא כְסוּתֹו֙ לְבַדָּ֔הּ הִ֥וא שִׂמְלָתֹ֖ו לְעֹרֹ֑ו בַּמֶּ֣ה יִשְׁכָּ֔ב וְהָיָה֙ כִּֽי־יִצְעַ֣ק אֵלַ֔י וְשָׁמַעְתִּ֖י כִּֽי־חַנּ֥וּן אָֽנִי׃ ס ,,Cmpl,בַּמֶּ֣ה יִשְׁכָּ֔ב ,יִשְׁכָּ֔ב,מֶּ֣ה,בַּמֶּ֣ה ,1,1,ב,?, 
"('Ezekiel', 31, 18)",770224,572026,אֶל־מִ֨י דָמִ֥יתָ כָּ֛כָה בְּכָבֹ֥וד וּבְגֹ֖דֶל בַּעֲצֵי־עֵ֑דֶן וְהוּרַדְתָּ֙ אֶת־עֲצֵי־עֵ֜דֶן אֶל־אֶ֣רֶץ תַּחְתִּ֗ית בְּתֹ֨וךְ עֲרֵלִ֤ים תִּשְׁכַּב֙ אֶת־חַלְלֵי־חֶ֔רֶב ה֤וּא פַרְעֹה֙ וְכָל־הֲמֹונֹ֔ו נְאֻ֖ם אֲדֹנָ֥י יְהוִֽה׃ ס ,,Cmpl,בְּתֹ֨וךְ עֲרֵלִ֤ים תִּשְׁכַּב֙ ,תִּשְׁכַּב֙,תֹ֨וךְ,בְּתֹ֨וךְ עֲרֵלִ֤ים ,1,1,ב,locale, 
"('1_Samuel', 3, 9)",686192,542153,וַיֹּ֨אמֶר עֵלִ֣י לִשְׁמוּאֵל֮ לֵ֣ךְ שְׁכָב֒ וְהָיָה֙ אִם־יִקְרָ֣א אֵלֶ֔יךָ וְאָֽמַרְתָּ֙ דַּבֵּ֣ר יְהוָ֔ה כִּ֥י שֹׁמֵ֖עַ עַבְדֶּ֑ךָ וַיֵּ֣לֶךְ שְׁמוּאֵ֔ל וַיִּשְׁכַּ֖ב בִּמְקֹומֹֽו׃ ,,Cmpl,וַיִּשְׁכַּ֖ב בִּמְקֹומֹֽו׃ ,יִּשְׁכַּ֖ב,מְקֹומֹֽו,בִּמְקֹומֹֽו׃ ,1,1,ב,locale, 
"('Genesis', 28, 11)",614024,517612,וַיִּפְגַּ֨ע בַּמָּקֹ֜ום וַיָּ֤לֶן שָׁם֙ כִּי־בָ֣א הַשֶּׁ֔מֶשׁ וַיִּקַּח֙ מֵאַבְנֵ֣י הַמָּקֹ֔ום וַיָּ֖שֶׂם מְרַֽאֲשֹׁתָ֑יו וַיִּשְׁכַּ֖ב בַּמָּקֹ֥ום הַהֽוּא׃ ,,Cmpl,וַיִּשְׁכַּ֖ב בַּמָּקֹ֥ום הַהֽוּא׃ ,יִּשְׁכַּ֖ב,מָּקֹ֥ום,בַּמָּקֹ֥ום הַהֽוּא׃ ,1,1,ב,locale, 
"('2_Kings', 4, 34)",719281,553418,וַיַּ֜עַל וַיִּשְׁכַּ֣ב עַל־הַיֶּ֗לֶד וַיָּשֶׂם֩ פִּ֨יו עַל־פִּ֜יו וְעֵינָ֤יו עַל־עֵינָיו֙ וְכַפָּ֣יו עַל־כַּפָּ֔יו וַיִּגְהַ֖ר עָלָ֑יו וַיָּ֖חָם בְּשַׂ֥ר הַיָּֽלֶד׃ ,,Cmpl,וַיִּשְׁכַּ֣ב עַל־הַיֶּ֗לֶד ,יִּשְׁכַּ֣ב,יֶּ֗לֶד,עַל־הַיֶּ֗לֶד ,1,1,על,agent, 
"('Leviticus', 15, 24)",641421,526895,וְאִ֡ם שָׁכֹב֩ יִשְׁכַּ֨ב אִ֜ישׁ אֹתָ֗הּ וּתְהִ֤י נִדָּתָהּ֙ עָלָ֔יו וְטָמֵ֖א שִׁבְעַ֣ת יָמִ֑ים וְכָל־הַמִּשְׁכָּ֛ב אֲשֶׁר־יִשְׁכַּ֥ב עָלָ֖יו יִטְמָֽא׃ פ ,,Cmpl,אֲשֶׁר־יִשְׁכַּ֥ב עָלָ֖יו ,יִשְׁכַּ֥ב,עָלָ֖יו,עָלָ֖יו ,1,1,על,?, 
"('Leviticus', 15, 26)",641442,526903,כָּל־הַמִּשְׁכָּ֞ב אֲשֶׁר־תִּשְׁכַּ֤ב עָלָיו֙ כָּל־יְמֵ֣י זֹובָ֔הּ כְּמִשְׁכַּ֥ב נִדָּתָ֖הּ יִֽהְיֶה־לָּ֑הּ וְכָֽל־הַכְּלִי֙ אֲשֶׁ֣ר תֵּשֵׁ֣ב עָלָ֔יו טָמֵ֣א יִהְיֶ֔ה כְּטֻמְאַ֖ת נִדָּתָֽהּ׃ ,"('ZWB/', 'flux')",Cmpl,אֲשֶׁר־תִּשְׁכַּ֤ב עָלָיו֙ כָּל־יְמֵ֣י זֹובָ֔הּ ,תִּשְׁכַּ֤ב,עָלָיו֙,עָלָיו֙ ,1,1,על,?, 
"('Job', 21, 26)",810755,587860,יַ֭חַד עַל־עָפָ֣ר יִשְׁכָּ֑בוּ וְ֝רִמָּ֗ה תְּכַסֶּ֥ה עֲלֵיהֶֽם׃ ,,Cmpl,יַ֭חַד עַל־עָפָ֣ר יִשְׁכָּ֑בוּ ,יִשְׁכָּ֑בוּ,עָפָ֣ר,עַל־עָפָ֣ר ,1,1,על,?, 
"('1_Kings', 3, 19)",708627,549690,וַיָּ֛מָת בֶּן־הָאִשָּׁ֥ה הַזֹּ֖את לָ֑יְלָה אֲשֶׁ֥ר שָׁכְבָ֖ה עָלָֽיו׃ ,,Cmpl,אֲשֶׁ֥ר שָׁכְבָ֖ה עָלָֽיו׃ ,שָׁכְבָ֖ה,עָלָֽיו,עָלָֽיו׃ ,1,1,על,?, 
"('2_Samuel', 13, 5)",701484,547237,וַיֹּ֤אמֶר לֹו֙ יְהֹ֣ונָדָ֔ב שְׁכַ֥ב עַל־מִשְׁכָּבְךָ֖ וְהִתְחָ֑ל וּבָ֧א אָבִ֣יךָ לִרְאֹותֶ֗ךָ וְאָמַרְתָּ֣ אֵלָ֡יו תָּ֣בֹא נָא֩ תָמָ֨ר אֲחֹותִ֜י וְתַבְרֵ֣נִי לֶ֗חֶם וְעָשְׂתָ֤ה לְעֵינַי֙ אֶת־הַבִּרְיָ֔ה לְמַ֨עַן֙ אֲשֶׁ֣ר אֶרְאֶ֔ה וְאָכַלְתִּ֖י מִיָּדָֽהּ׃ ,,Cmpl,שְׁכַ֥ב עַל־מִשְׁכָּבְךָ֖ ,שְׁכַ֥ב,מִשְׁכָּבְךָ֖,עַל־מִשְׁכָּבְךָ֖ ,1,1,על,?, 
"('Leviticus', 15, 4)",641121,526791,כָּל־הַמִּשְׁכָּ֗ב אֲשֶׁ֨ר יִשְׁכַּ֥ב עָלָ֛יו הַזָּ֖ב יִטְמָ֑א וְכָֽל־הַכְּלִ֛י אֲשֶׁר־יֵשֵׁ֥ב עָלָ֖יו יִטְמָֽא׃ ,,Cmpl,אֲשֶׁ֨ר יִשְׁכַּ֥ב עָלָ֛יו הַזָּ֖ב ,יִשְׁכַּ֥ב,עָלָ֛יו,עָלָ֛יו ,1,1,על,?, 
"('Ezekiel', 4, 4)",761211,568808,וְאַתָּ֤ה שְׁכַב֙ עַל־צִדְּךָ֣ הַשְּׂמָאלִ֔י וְשַׂמְתָּ֛ אֶת־עֲוֹ֥ן בֵּֽית־יִשְׂרָאֵ֖ל עָלָ֑יו מִסְפַּ֤ר הַיָּמִים֙ אֲשֶׁ֣ר תִּשְׁכַּ֣ב עָלָ֔יו תִּשָּׂ֖א אֶת־עֲוֹנָֽם׃ ,"('FM>LJ/', 'lefthand')",Cmpl,שְׁכַב֙ עַל־צִדְּךָ֣ הַשְּׂמָאלִ֔י ,שְׁכַב֙,צִדְּךָ֣,עַל־צִדְּךָ֣ הַשְּׂמָאלִ֔י ,1,1,על,?, 
"('Ezekiel', 4, 4)",761219,568811,וְאַתָּ֤ה שְׁכַב֙ עַל־צִדְּךָ֣ הַשְּׂמָאלִ֔י וְשַׂמְתָּ֛ אֶת־עֲוֹ֥ן בֵּֽית־יִשְׂרָאֵ֖ל עָלָ֑יו מִסְפַּ֤ר הַיָּמִים֙ אֲשֶׁ֣ר תִּשְׁכַּ֣ב עָלָ֔יו תִּשָּׂ֖א אֶת־עֲוֹנָֽם׃ ,,Cmpl,אֲשֶׁ֣ר תִּשְׁכַּ֣ב עָלָ֔יו ,תִּשְׁכַּ֣ב,עָלָ֔יו,עָלָ֔יו ,1,1,על,?, 
"('Ezekiel', 4, 6)",761235,568816,וְכִלִּיתָ֣ אֶת־אֵ֗לֶּה וְשָׁ֨כַבְתָּ֜ עַל־צִדְּךָ֤ הַיְמָנִי֙ שֵׁנִ֔ית וְנָשָׂ֖אתָ אֶת־עֲוֹ֣ן בֵּית־יְהוּדָ֑ה אַרְבָּעִ֣ים יֹ֔ום יֹ֧ום לַשָּׁנָ֛ה יֹ֥ום לַשָּׁנָ֖ה נְתַתִּ֥יו לָֽךְ׃ ,,Cmpl,וְשָׁ֨כַבְתָּ֜ עַל־צִדְּךָ֤ הַיְמָנִי֙ שֵׁנִ֔ית ,שָׁ֨כַבְתָּ֜,צִדְּךָ֤,עַל־צִדְּךָ֤ הַיְמָנִי֙ ,1,1,על,?, 
"('1_Kings', 21, 4)",716570,552446,וַיָּבֹא֩ אַחְאָ֨ב אֶל־בֵּיתֹ֜ו סַ֣ר וְזָעֵ֗ף עַל־הַדָּבָר֙ אֲשֶׁר־דִּבֶּ֣ר אֵלָ֗יו נָבֹות֙ הַיִּזְרְעֵאלִ֔י וַיֹּ֕אמֶר לֹֽא־אֶתֵּ֥ן לְךָ֖ אֶת־נַחֲלַ֣ת אֲבֹותָ֑י וַיִּשְׁכַּב֙ עַל־מִטָּתֹ֔ו וַיַּסֵּ֥ב אֶת־פָּנָ֖יו וְלֹֽא־אָ֥כַל לָֽחֶם׃ ,"('MVH=/', 'couch')",Cmpl,וַיִּשְׁכַּב֙ עַל־מִטָּתֹ֔ו ,יִּשְׁכַּב֙,מִטָּתֹ֔ו,עַל־מִטָּתֹ֔ו ,1,1,על,?, 
