reference,clauseAtom,Verse,Rare Terms,Clause,SatCount,SATELLITE: ,prepCount,ObjCount,Function,Category,(Preposition) + Objects,preposition,SATELLITE: ,prepCount,ObjCount,Function,Category,(Preposition) + Objects,preposition
"('1_Kings', 22, 51)",552818,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵר֙ עִם־אֲבֹתָ֔יו בְּעִ֖יר דָּוִ֣ד אָבִ֑יו וַיִּמְלֹ֛ךְ יְהֹורָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ ס ,,וַיִּשְׁכַּ֤ב יְהֹֽושָׁפָט֙ עִם־אֲבֹתָ֔יו ,1,717598,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('1_Kings', 11, 21)",550792,וַהֲדַ֞ד שָׁמַ֣ע בְּמִצְרַ֗יִם כִּֽי־שָׁכַ֤ב דָּוִד֙ עִם־אֲבֹתָ֔יו וְכִי־מֵ֖ת יֹואָ֣ב שַֽׂר־הַצָּבָ֑א וַיֹּ֤אמֶר הֲדַד֙ אֶל־פַּרְעֹ֔ה שַׁלְּחֵ֖נִי וְאֵלֵ֥ךְ אֶל־אַרְצִֽי׃ ,,כִּֽי־שָׁכַ֤ב דָּוִד֙ עִם־אֲבֹתָ֔יו ,1,711829,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 16, 13)",603017,וַיִּשְׁכַּ֥ב אָסָ֖א עִם־אֲבֹתָ֑יו וַיָּ֕מָת בִּשְׁנַ֛ת אַרְבָּעִ֥ים וְאַחַ֖ת לְמָלְכֹֽו׃ ,,וַיִּשְׁכַּ֥ב אָסָ֖א עִם־אֲבֹתָ֑יו ,1,852090,1,1,Cmpl,death,עִם אֲבֹתָ֑יו,עמ,,,,,,,
"('2_Chronicles', 9, 31)",602513,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו וַֽיִּקְבְּרֻ֔הוּ בְּעִ֖יר דָּוִ֣יד אָבִ֑יו וַיִּמְלֹ֛ךְ רְחַבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו ,1,850607,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 14, 16)",554911,וַיִּשְׁכַּ֤ב יְהֹואָשׁ֙ עִם־אֲבֹתָ֔יו וַיִּקָּבֵר֙ בְּשֹׁ֣מְרֹ֔ון עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל וַיִּמְלֹ֛ךְ יָרָבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JHW>C/', 'Jehoash')",וַיִּשְׁכַּ֤ב יְהֹואָשׁ֙ עִם־אֲבֹתָ֔יו ,1,723454,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 26, 23)",604071,וַיִּשְׁכַּ֨ב עֻזִּיָּ֜הוּ עִם־אֲבֹתָ֗יו וַיִּקְבְּר֨וּ אֹתֹ֤ו עִם־אֲבֹתָיו֙ בִּשְׂדֵ֤ה הַקְּבוּרָה֙ אֲשֶׁ֣ר לַמְּלָכִ֔ים כִּ֥י אָמְר֖וּ מְצֹורָ֣ע ה֑וּא וַיִּמְלֹ֛ךְ יֹותָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('<ZJHW/', 'Uzziah')",וַיִּשְׁכַּ֨ב עֻזִּיָּ֜הוּ עִם־אֲבֹתָ֗יו ,1,855144,1,1,Adju,death,עִם אֲבֹתָ֗יו,עמ,,,,,,,
"('2_Kings', 14, 22)",554928,ה֚וּא בָּנָ֣ה אֶת־אֵילַ֔ת וַיְשִׁבֶ֖הָ לִֽיהוּדָ֑ה אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,,אַחֲרֵ֥י שְׁכַֽב־הַמֶּ֖לֶךְ עִם־אֲבֹתָֽיו׃ פ ,1,723517,1,1,Cmpl,death,עִם אֲבֹתָֽיו,עמ,,,,,,,
"('1_Kings', 14, 20)",551368,וְהַיָּמִים֙ אֲשֶׁ֣ר מָלַ֣ךְ יָרָבְעָ֔ם עֶשְׂרִ֥ים וּשְׁתַּ֖יִם שָׁנָ֑ה וַיִּשְׁכַּב֙ עִם־אֲבֹתָ֔יו וַיִּמְלֹ֛ךְ נָדָ֥ב בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּב֙ עִם־אֲבֹתָ֔יו ,1,713529,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 14, 29)",554953,וַיִּשְׁכַּ֤ב יָֽרָבְעָם֙ עִם־אֲבֹתָ֔יו עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל וַיִּמְלֹ֛ךְ זְכַרְיָ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֤ב יָֽרָבְעָם֙ עִם־אֲבֹתָ֔יו עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל ,1,723589,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Chronicles', 27, 9)",604103,וַיִּשְׁכַּ֤ב יֹותָם֙ עִם־אֲבֹתָ֔יו וַיִּקְבְּר֥וּ אֹתֹ֖ו בְּעִ֣יר דָּוִ֑יד וַיִּמְלֹ֛ךְ אָחָ֥ז בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,"('JWTM/', 'Jotham')",וַיִּשְׁכַּ֤ב יֹותָם֙ עִם־אֲבֹתָ֔יו ,1,855243,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('2_Kings', 15, 7)",554975,וַיִּשְׁכַּ֤ב עֲזַרְיָה֙ עִם־אֲבֹתָ֔יו וַיִּקְבְּר֥וּ אֹתֹ֛ו עִם־אֲבֹתָ֖יו בְּעִ֣יר דָּוִ֑ד וַיִּמְלֹ֛ךְ יֹותָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֤ב עֲזַרְיָה֙ עִם־אֲבֹתָ֔יו ,1,723654,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('1_Kings', 11, 43)",550890,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו וַיִּ֨קָּבֵ֔ר בְּעִ֖יר דָּוִ֣ד אָבִ֑יו וַיִּמְלֹ֛ךְ רְחַבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ ס ,,וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו ,1,712139,1,1,Cmpl,death,עִם אֲבֹתָ֔יו,עמ,,,,,,,
"('1_Kings', 14, 31)",551405,וַיִּשְׁכַּ֨ב רְחַבְעָ֜ם עִם־אֲבֹתָ֗יו וַיִּקָּבֵ֤ר עִם־אֲבֹתָיו֙ בְּעִ֣יר דָּוִ֔ד וְשֵׁ֣ם אִמֹּ֔ו נַעֲמָ֖ה הָעַמֹּנִ֑ית וַיִּמְלֹ֛ךְ אֲבִיָּ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ ,,וַיִּשְׁכַּ֨ב רְחַבְעָ֜ם עִם־אֲבֹתָ֗יו ,1,713643,1,1,Cmpl,death,עִם אֲבֹתָ֗יו,עמ,,,,,,,
"('2_Samuel', 7, 12)",546620,כִּ֣י׀ יִמְלְא֣וּ יָמֶ֗יךָ וְשָֽׁכַבְתָּ֙ אֶת־אֲבֹתֶ֔יךָ וַהֲקִימֹתִ֤י אֶֽת־זַרְעֲךָ֙ אַחֲרֶ֔יךָ אֲשֶׁ֥ר יֵצֵ֖א מִמֵּעֶ֑יךָ וַהֲכִינֹתִ֖י אֶת־מַמְלַכְתֹּֽו׃ ,,וְשָֽׁכַבְתָּ֙ אֶת־אֲבֹתֶ֔יךָ ,1,699597,1,1,Cmpl,death,אֶת אֲבֹתֶ֔יךָ,את,,,,,,,
"('Deuteronomy', 22, 28)",535047,כִּֽי־יִמְצָ֣א אִ֗ישׁ נַעֲרָ֤ה בְתוּלָה֙ אֲשֶׁ֣ר לֹא־אֹרָ֔שָׂה וּתְפָשָׂ֖הּ וְשָׁכַ֣ב עִמָּ֑הּ וְנִמְצָֽאוּ׃ ,,וְשָׁכַ֣ב עִמָּ֑הּ ,1,665209,1,1,Cmpl,sex,עִמָּ֑הּ ָהּ,עמ,,,,,,,
"('Deuteronomy', 22, 29)",535050,וְ֠נָתַן הָאִ֨ישׁ הַשֹּׁכֵ֥ב עִמָּ֛הּ לַאֲבִ֥י הַֽנַּעֲרָ֖ה חֲמִשִּׁ֣ים כָּ֑סֶף וְלֹֽו־תִהְיֶ֣ה לְאִשָּׁ֗ה תַּ֚חַת אֲשֶׁ֣ר עִנָּ֔הּ לֹא־יוּכַ֥ל שַׁלְּחָ֖הּ כָּל־יָמָֽיו׃ ס ,,הַשֹּׁכֵ֥ב עִמָּ֛הּ ,1,665217,1,1,Cmpl,sex,עִמָּ֛הּ ָהּ,עמ,,,,,,,
"('Genesis', 39, 14)",519179,וַתִּקְרָ֞א לְאַנְשֵׁ֣י בֵיתָ֗הּ וַתֹּ֤אמֶר לָהֶם֙ לֵאמֹ֔ר רְא֗וּ הֵ֥בִיא לָ֛נוּ אִ֥ישׁ עִבְרִ֖י לְצַ֣חֶק בָּ֑נוּ בָּ֤א אֵלַי֙ לִשְׁכַּ֣ב עִמִּ֔י וָאֶקְרָ֖א בְּקֹ֥ול גָּדֹֽול׃ ,,לִשְׁכַּ֣ב עִמִּ֔י ,1,618632,1,1,Cmpl,sex,עִמִּ֔י ִי,עמ,,,,,,,
"('Leviticus', 15, 33)",526932,וְהַדָּוָה֙ בְּנִדָּתָ֔הּ וְהַזָּב֙ אֶת־זֹובֹ֔ו לַזָּכָ֖ר וְלַנְּקֵבָ֑ה וּלְאִ֕ישׁ אֲשֶׁ֥ר יִשְׁכַּ֖ב עִם־טְמֵאָֽה׃ פ ,,אֲשֶׁ֥ר יִשְׁכַּ֖ב עִם־טְמֵאָֽה׃ פ ,1,641537,1,1,Cmpl,sex,עִם טְמֵאָֽה,עמ,,,,,,,
