reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Isaiah', 51, 11)-('Isaiah', 51, 11)",וּבָ֤אוּ צִיֹּון֙ בְּרִנָּ֔ה וְשִׂמְחַ֥ת עֹולָ֖ם עַל־רֹאשָׁ֑ם ,בָ֤אוּ ,רֹאשָׁ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,560824,560825
"('Isaiah', 53, 11)-('Isaiah', 53, 11)",יִשְׂבָּ֔ע בְּדַעְתֹּ֗ו יַצְדִּ֥יק צַדִּ֛יק עַבְדִּ֖י לָֽרַבִּ֑ים ,יִשְׂבָּ֔ע ,דַעְתֹּ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,561022,561023
"('Isaiah', 56, 10)-('Isaiah', 56, 10)",כֻּלָּם֙ לֹ֣א יָדָ֔עוּ כֻּלָּם֙ כְּלָבִ֣ים אִלְּמִ֔ים ,יָדָ֔עוּ ,כֻּלָּם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,561229,561230
"('Isaiah', 59, 5)-('Isaiah', 59, 5)",וְקוּרֵ֥י עַכָּבִ֖ישׁ יֶאֱרֹ֑גוּ הָאֹכֵ֤ל מִבֵּֽיצֵיהֶם֙ ,יֶאֱרֹ֑גוּ ,בֵּֽיצֵיהֶם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,561447,561448
"('Isaiah', 59, 8)-('Isaiah', 59, 8)",דֶּ֤רֶךְ שָׁלֹום֙ לֹ֣א יָדָ֔עוּ וְאֵ֥ין מִשְׁפָּ֖ט בְּמַעְגְּלֹותָ֑ם ,יָדָ֔עוּ ,מַעְגְּלֹותָ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,561462,561463
"('Isaiah', 62, 11)-('Isaiah', 62, 11)",הִנֵּ֥ה יִשְׁעֵ֖ךְ בָּ֑א הִנֵּ֤ה שְׂכָרֹו֙ אִתֹּ֔ו ,בָּ֑א ,שְׂכָרֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,561736,561737
"('Isaiah', 66, 15)-('Isaiah', 66, 15)",כִּֽי־הִנֵּ֤ה יְהוָה֙ בָּאֵ֣שׁ יָבֹ֔וא וְכַסּוּפָ֖ה מַרְכְּבֹתָ֑יו ,יָבֹ֔וא ,מַרְכְּבֹתָ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,562091,562092
"('Jeremiah', 4, 13)-('Jeremiah', 4, 13)",הִנֵּ֣ה׀ כַּעֲנָנִ֣ים יַעֲלֶ֗ה וְכַסּוּפָה֙ מַרְכְּבֹותָ֔יו ,יַעֲלֶ֗ה ,מַרְכְּבֹותָ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,562582,562583
"('Jeremiah', 5, 4)-('Jeremiah', 5, 4)",כִּ֣י לֹ֤א יָדְעוּ֙ דֶּ֣רֶךְ יְהוָ֔ה מִשְׁפַּ֖ט אֱלֹהֵיהֶֽם׃ ,יָדְעוּ֙ ,אֱלֹהֵיהֶֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,562696,562697
"('Jeremiah', 5, 5)-('Jeremiah', 5, 5)",כִּ֣י הֵ֗מָּה יָדְעוּ֙ דֶּ֣רֶךְ יְהוָ֔ה מִשְׁפַּ֖ט אֱלֹהֵיהֶ֑ם ,יָדְעוּ֙ ,אֱלֹהֵיהֶ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,562700,562701
"('Jeremiah', 5, 15)-('Jeremiah', 5, 16)",מַה־יְדַבֵּֽר׃ אַשְׁפָּתֹ֖ו כְּקֶ֣בֶר פָּת֑וּחַ ,יְדַבֵּֽר׃ ,אַשְׁפָּתֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,562757,562758
"('Jeremiah', 6, 10)-('Jeremiah', 6, 10)",וְיִשְׁמָ֔עוּ הִנֵּה֙ עֲרֵלָ֣ה אָזְנָ֔ם ,יִשְׁמָ֔עוּ ,אָזְנָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,562877,562878
"('Jeremiah', 6, 23)-('Jeremiah', 6, 23)",וְלֹ֣א יְרַחֵ֔מוּ קֹולָם֙ כַּיָּ֣ם יֶהֱמֶ֔ה ,יְרַחֵ֔מוּ ,קֹולָם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,562946,562947
"('Jeremiah', 9, 7)-('Jeremiah', 9, 7)",מִרְמָ֣ה דִבֵּ֑ר בְּפִ֗יו שָׁלֹ֤ום אֶת־רֵעֵ֨הוּ֙ יְדַבֵּ֗ר ,דִבֵּ֑ר ,פִ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,563273,563274
"('Jeremiah', 9, 7)-('Jeremiah', 9, 7)",בְּפִ֗יו שָׁלֹ֤ום אֶת־רֵעֵ֨הוּ֙ יְדַבֵּ֗ר וּבְקִרְבֹּ֖ו יָשִׂ֥ים אָרְבֹּֽו׃ ,יְדַבֵּ֗ר ,קִרְבֹּ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,563274,563275
"('Jeremiah', 10, 21)-('Jeremiah', 10, 21)",עַל־כֵּן֙ לֹ֣א הִשְׂכִּ֔ילוּ וְכָל־מַרְעִיתָ֖ם נָפֹֽוצָה׃ ס ,הִשְׂכִּ֔ילוּ ,מַרְעִיתָ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,563444,563445
"('Jeremiah', 11, 10)-('Jeremiah', 11, 10)",הֵפֵ֤רוּ בֵֽית־יִשְׂרָאֵל֙ וּבֵ֣ית יְהוּדָ֔ה אֶת־בְּרִיתִ֕י אֲשֶׁ֥ר כָּרַ֖תִּי אֶת־אֲבֹותָֽם׃ ס ,הֵפֵ֤רוּ ,אֲבֹותָֽם׃ ס ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,563520,563521
"('Jeremiah', 11, 22)-('Jeremiah', 11, 22)",הַבַּֽחוּרִים֙ יָמֻ֣תוּ בַחֶ֔רֶב בְּנֵיהֶם֙ וּבְנֹ֣ותֵיהֶ֔ם יָמֻ֖תוּ בָּרָעָֽב׃ ,יָמֻ֣תוּ ,בְּנֵיהֶם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,563577,563578
"('Jeremiah', 12, 2)-('Jeremiah', 12, 2)",גַּם־עָ֣שׂוּ פֶ֑רִי קָרֹ֤וב אַתָּה֙ בְּפִיהֶ֔ם ,עָ֣שׂוּ ,פִיהֶ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,563590,563591
"('Jeremiah', 14, 3)-('Jeremiah', 14, 3)",שָׁ֤בוּ כְלֵיהֶם֙ רֵיקָ֔ם ,שָׁ֤בוּ ,כְלֵיהֶם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,563800,563801
"('Jeremiah', 14, 12)-('Jeremiah', 14, 12)",כִּ֣י יָצֻ֗מוּ אֵינֶ֤נִּי שֹׁמֵ֨עַ֙ אֶל־רִנָּתָ֔ם ,יָצֻ֗מוּ ,רִנָּתָ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,563844,563845
"('Jeremiah', 16, 4)-('Jeremiah', 16, 4)",וּבַחֶ֤רֶב וּבָֽרָעָב֙ יִכְל֔וּ וְהָיְתָ֤ה נִבְלָתָם֙ לְמַאֲכָ֔ל לְעֹ֥וף הַשָּׁמַ֖יִם וּלְבֶהֱמַ֥ת הָאָֽרֶץ׃ ס ,יִכְל֔וּ ,נִבְלָתָם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,564036,564037
"('Jeremiah', 22, 13)-('Jeremiah', 22, 13)",בְּרֵעֵ֨הוּ֙ יַעֲבֹ֣ד חִנָּ֔ם וּפֹעֲלֹ֖ו לֹ֥א יִתֶּן־לֹֽו׃ ,יַעֲבֹ֣ד ,פֹעֲלֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,564637,564638
"('Jeremiah', 31, 15)-('Jeremiah', 31, 15)",מֵאֲנָ֛ה לְהִנָּחֵ֥ם עַל־בָּנֶ֖יהָ ,מֵאֲנָ֛ה ,בָּנֶ֖יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,565704,565705
"('Jeremiah', 31, 23)-('Jeremiah', 31, 23)",עֹ֣וד יֹאמְר֞וּ אֶת־הַדָּבָ֣ר הַזֶּ֗ה בְּאֶ֤רֶץ יְהוּדָה֙ וּבְעָרָ֔יו בְּשׁוּבִ֖י אֶת־שְׁבוּתָ֑ם ,יֹאמְר֞וּ ,שְׁבוּתָ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,565754,565755
"('Jeremiah', 33, 8)-('Jeremiah', 33, 8)",אֲשֶׁ֣ר חָֽטְאוּ־לִ֑י וְסָלַחְתִּ֗י לְכָל־עֲוֹנֹֽותֵיהֶם֙ ,חָֽטְאוּ־,עֲוֹנֹֽותֵיהֶם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,566055,566056
"('Jeremiah', 33, 24)-('Jeremiah', 33, 24)",וְאֶת־עַמִּי֙ יִנְאָצ֔וּן מִֽהְיֹ֥ות עֹ֖וד גֹּ֥וי לִפְנֵיהֶֽם׃ ס ,יִנְאָצ֔וּן ,פְנֵיהֶֽם׃ ס ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,566126,566127
"('Jeremiah', 36, 3)-('Jeremiah', 36, 3)",לְמַ֣עַן יָשׁ֗וּבוּ אִ֚ישׁ מִדַּרְכֹּ֣ו הָרָעָ֔ה וְסָלַחְתִּ֥י לַעֲוֹנָ֖ם וּלְחַטָּאתָֽם׃ ס ,יָשׁ֗וּבוּ ,עֲוֹנָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,566348,566349
"('Jeremiah', 46, 7)-('Jeremiah', 46, 7)",מִי־זֶ֖ה כַּיְאֹ֣ר יַֽעֲלֶ֑ה כַּנְּהָרֹ֕ות יִֽתְגָּעֲשׁ֖וּ מֵימָֽיו׃ ,יַֽעֲלֶ֑ה ,מֵימָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,567349,567350
"('Jeremiah', 46, 21)-('Jeremiah', 46, 21)",לֹ֣א עָמָ֑דוּ כִּ֣י יֹ֥ום אֵידָ֛ם בָּ֥א עֲלֵיהֶ֖ם עֵ֥ת פְּקֻדָּתָֽם׃ ,עָמָ֑דוּ ,אֵידָ֛ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,567416,567417
"('Jeremiah', 48, 9)-('Jeremiah', 48, 9)",כִּ֥י נָצֹ֖א תֵּצֵ֑א וְעָרֶ֨יהָ֙ לְשַׁמָּ֣ה תִֽהְיֶ֔ינָה ,תֵּצֵ֑א ,עָרֶ֨יהָ֙ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,567516,567517
"('Jeremiah', 48, 12)-('Jeremiah', 48, 12)",וְכֵלָ֣יו יָרִ֔יקוּ וְנִבְלֵיהֶ֖ם יְנַפֵּֽצוּ׃ ,יָרִ֔יקוּ ,נִבְלֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,567533,567534
"('Jeremiah', 49, 3)-('Jeremiah', 49, 3)",כִּ֤י מַלְכָּם֙ בַּגֹּולָ֣ה יֵלֵ֔ךְ כֹּהֲנָ֥יו וְשָׂרָ֖יו יַחְדָּֽיו׃ ,יֵלֵ֔ךְ ,כֹּהֲנָ֥יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,567685,567686
"('Jeremiah', 49, 29)-('Jeremiah', 49, 29)",אָהֳלֵיהֶ֤ם וְצֹאנָם֙ יִקָּ֔חוּ יְרִיעֹותֵיהֶ֧ם וְכָל־כְּלֵיהֶ֛ם וּגְמַלֵּיהֶ֖ם יִשְׂא֣וּ לָהֶ֑ם ,יִקָּ֔חוּ ,יְרִיעֹותֵיהֶ֧ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,567810,567811
"('Jeremiah', 50, 4)-('Jeremiah', 50, 4)",הָלֹ֤וךְ וּבָכֹו֙ יֵלֵ֔כוּ וְאֶת־יְהוָ֥ה אֱלֹהֵיהֶ֖ם יְבַקֵּֽשׁוּ׃ ,יֵלֵ֔כוּ ,אֱלֹהֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,567878,567879
"('Jeremiah', 50, 5)-('Jeremiah', 50, 5)",יִשְׁאָ֔לוּ דֶּ֖רֶךְ הֵ֣נָּה פְנֵיהֶ֑ם ,יִשְׁאָ֔לוּ ,פְנֵיהֶ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,567881,567882
"('Jeremiah', 50, 6)-('Jeremiah', 50, 6)",צֹ֤אן אֹֽבְדֹות֙ הָי֣וּ עַמִּ֔י רֹעֵיהֶ֣ם הִתְע֔וּם ,הָי֣וּ ,רֹעֵיהֶ֣ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,567886,567887
"('Jeremiah', 50, 10)-('Jeremiah', 50, 10)",וְהָיְתָ֥ה כַשְׂדִּ֖ים לְשָׁלָ֑ל כָּל־שֹׁלְלֶ֥יהָ יִשְׂבָּ֖עוּ ,הָיְתָ֥ה ,שֹׁלְלֶ֥יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,567904,567905
"('Jeremiah', 50, 42)-('Jeremiah', 50, 42)",וְלֹ֣א יְרַחֵ֔מוּ קֹולָם֙ כַּיָּ֣ם יֶהֱמֶ֔ה ,יְרַחֵ֔מוּ ,קֹולָם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,568057,568058
"('Jeremiah', 51, 42)-('Jeremiah', 51, 43)",בַּהֲמֹ֥ון גַּלָּ֖יו נִכְסָֽתָה׃ הָי֤וּ עָרֶ֨יהָ֙ לְשַׁמָּ֔ה אֶ֖רֶץ צִיָּ֣ה וַעֲרָבָ֑ה אֶ֗רֶץ ,נִכְסָֽתָה׃ ,עָרֶ֨יהָ֙ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,568258,568259
"('Jeremiah', 51, 44)-('Jeremiah', 51, 45)",גַּם־חֹומַ֥ת בָּבֶ֖ל נָפָֽלָה׃ צְא֤וּ מִתֹּוכָהּ֙ ,נָפָֽלָה׃ ,תֹּוכָהּ֙ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,568265,568266
"('Jeremiah', 51, 47)-('Jeremiah', 51, 47)",וְכָל־אַרְצָ֖הּ תֵּבֹ֑ושׁ וְכָל־חֲלָלֶ֖יהָ יִפְּל֥וּ בְתֹוכָֽהּ׃ ,תֵּבֹ֑ושׁ ,חֲלָלֶ֖יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,568280,568281
"('Jeremiah', 51, 58)-('Jeremiah', 51, 58)",חֹ֠מֹות בָּבֶ֤ל הָֽרְחָבָה֙ עַרְעֵ֣ר תִּתְעַרְעָ֔ר וּשְׁעָרֶ֥יהָ הַגְּבֹהִ֖ים בָּאֵ֣שׁ יִצַּ֑תּוּ ,תִּתְעַרְעָ֔ר ,שְׁעָרֶ֥יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,568322,568323
"('Ezekiel', 2, 5)-('Ezekiel', 2, 5)",וְיָ֣דְע֔וּ כִּ֥י נָבִ֖יא הָיָ֥ה בְתֹוכָֽם׃ פ ,יָ֣דְע֔וּ ,תֹוכָֽם׃ פ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,568618,568619
"('Ezekiel', 3, 18)-('Ezekiel', 3, 18)",ה֤וּא רָשָׁע֙ בַּעֲוֹנֹ֣ו יָמ֔וּת וְדָמֹ֖ו מִיָּדְךָ֥ אֲבַקֵּֽשׁ׃ ,יָמ֔וּת ,דָמֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,568731,568732
"('Ezekiel', 3, 20)-('Ezekiel', 3, 20)",בְּחַטָּאתֹ֣ו יָמ֔וּת וְלֹ֣א תִזָּכַ֗רְןָ צִדְקֹתָיו֙ ,יָמ֔וּת ,צִדְקֹתָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,568744,568745
"('Ezekiel', 3, 20)-('Ezekiel', 3, 20)",אֲשֶׁ֣ר עָשָׂ֔ה וְדָמֹ֖ו מִיָּדְךָ֥ אֲבַקֵּֽשׁ׃ ,עָשָׂ֔ה ,דָמֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,568746,568747
"('Ezekiel', 6, 9)-('Ezekiel', 6, 9)",אֲשֶׁ֣ר נִשְׁבּוּ־שָׁם֒ אֲשֶׁ֨ר נִשְׁבַּ֜רְתִּי אֶת־לִבָּ֣ם הַזֹּונֶ֗ה ,נִשְׁבּוּ־,לִבָּ֣ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,568984,568985
"('Ezekiel', 7, 19)-('Ezekiel', 7, 19)",כַּסְפָּ֞ם בַּחוּצֹ֣ות יַשְׁלִ֗יכוּ וּזְהָבָם֮ לְנִדָּ֣ה יִֽהְיֶה֒ ,יַשְׁלִ֗יכוּ ,זְהָבָם֮ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,569096,569097
"('Ezekiel', 7, 19)-('Ezekiel', 7, 19)",נַפְשָׁם֙ לֹ֣א יְשַׂבֵּ֔עוּ וּמֵעֵיהֶ֖ם לֹ֣א יְמַלֵּ֑אוּ ,יְשַׂבֵּ֔עוּ ,מֵעֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,569100,569101
"('Ezekiel', 7, 19)-('Ezekiel', 7, 19)",וּמֵעֵיהֶ֖ם לֹ֣א יְמַלֵּ֑אוּ כִּֽי־מִכְשֹׁ֥ול עֲוֹנָ֖ם הָיָֽה׃ ,יְמַלֵּ֑אוּ ,עֲוֹנָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,569101,569102
"('Ezekiel', 12, 19)-('Ezekiel', 12, 19)",לַחְמָם֙ בִּדְאָגָ֣ה יֹאכֵ֔לוּ וּמֵֽימֵיהֶ֖ם בְּשִׁמָּמֹ֣ון יִשְׁתּ֑וּ ,יֹאכֵ֔לוּ ,מֵֽימֵיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,569590,569591
"('Ezekiel', 13, 14)-('Ezekiel', 13, 14)",וְנָֽפְלָה֙ וּכְלִיתֶ֣ם בְּתֹוכָ֔הּ ,נָֽפְלָה֙ ,תֹוכָ֔הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,569713,569714
"('Ezekiel', 14, 23)-('Ezekiel', 14, 23)",וְנִחֲמ֣וּ אֶתְכֶ֔ם כִּֽי־תִרְא֥וּ אֶת־דַּרְכָּ֖ם וְאֶת־עֲלִֽילֹותָ֑ם ,נִחֲמ֣וּ ,דַּרְכָּ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,569875,569876
"('Ezekiel', 15, 4)-('Ezekiel', 15, 4)",הִנֵּ֥ה לָאֵ֖שׁ נִתַּ֣ן לְאָכְלָ֑ה אֵת֩ שְׁנֵ֨י קְצֹותָ֜יו אָכְלָ֤ה הָאֵשׁ֙ ,נִתַּ֣ן ,קְצֹותָ֜יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,569890,569891
"('Ezekiel', 17, 9)-('Ezekiel', 17, 9)",תִּצְלָ֑ח הֲלֹוא֩ אֶת־שָׁרָשֶׁ֨יהָ יְנַתֵּ֜ק ,תִּצְלָ֑ח ,שָׁרָשֶׁ֨יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,570210,570211
"('Ezekiel', 17, 10)-('Ezekiel', 17, 10)",תִּיבַ֣שׁ יָבֹ֔שׁ עַל־עֲרֻגֹ֥ת צִמְחָ֖הּ תִּיבָֽשׁ׃ פ ,תִּיבַ֣שׁ ,צִמְחָ֖הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,570220,570221
"('Ezekiel', 18, 6)-('Ezekiel', 18, 6)",אֶל־הֶֽהָרִים֙ לֹ֣א אָכָ֔ל וְעֵינָיו֙ לֹ֣א נָשָׂ֔א אֶל־גִּלּוּלֵ֖י בֵּ֣ית יִשְׂרָאֵ֑ל ,אָכָ֔ל ,עֵינָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570317,570318
"('Ezekiel', 18, 7)-('Ezekiel', 18, 7)",וְאִישׁ֙ לֹ֣א יֹונֶ֔ה חֲבֹלָתֹ֥ו חֹוב֙ יָשִׁ֔יב ,יֹונֶ֔ה ,חֲבֹלָתֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570321,570322
"('Ezekiel', 18, 7)-('Ezekiel', 18, 7)",גְּזֵלָ֖ה לֹ֣א יִגְזֹ֑ל לַחְמֹו֙ לְרָעֵ֣ב יִתֵּ֔ן ,יִגְזֹ֑ל ,לַחְמֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570323,570324
"('Ezekiel', 18, 11)-('Ezekiel', 18, 11)",כִּ֣י גַ֤ם אֶל־הֶֽהָרִים֙ אָכַ֔ל וְאֶת־אֵ֥שֶׁת רֵעֵ֖הוּ טִמֵּֽא׃ ,אָכַ֔ל ,רֵעֵ֖הוּ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570340,570341
"('Ezekiel', 18, 13)-('Ezekiel', 18, 13)",מֹ֣ות יוּמָ֔ת דָּמָ֖יו בֹּ֥ו יִהְיֶֽה׃ ,יוּמָ֔ת ,דָּמָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570352,570353
"('Ezekiel', 18, 15)-('Ezekiel', 18, 15)",עַל־הֶֽהָרִים֙ לֹ֣א אָכָ֔ל וְעֵינָיו֙ לֹ֣א נָשָׂ֔א אֶל־גִּלּוּלֵ֖י בֵּ֣ית יִשְׂרָאֵ֑ל ,אָכָ֔ל ,עֵינָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570359,570360
"('Ezekiel', 18, 16)-('Ezekiel', 18, 16)",וּגְזֵלָ֖ה לֹ֣א גָזָ֑ל לַחְמֹו֙ לְרָעֵ֣ב נָתָ֔ן ,גָזָ֑ל ,לַחְמֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570364,570365
"('Ezekiel', 18, 17)-('Ezekiel', 18, 18)",חָיֹ֥ה יִחְיֶֽה׃ אָבִ֞יו ,יִחְיֶֽה׃ ,אָבִ֞יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570372,570373
"('Ezekiel', 18, 24)-('Ezekiel', 18, 24)",אֲשֶׁר־מָעַ֛ל וּבְחַטָּאתֹ֥ו ,מָעַ֛ל ,חַטָּאתֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570421,570422
"('Ezekiel', 18, 26)-('Ezekiel', 18, 26)",וּמֵ֣ת עֲלֵיהֶ֑ם בְּעַוְלֹ֥ו ,מֵ֣ת ,עַוְלֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570433,570434
"('Ezekiel', 21, 26)-('Ezekiel', 21, 27)",רָאָ֖ה בַּכָּבֵֽד׃ בִּֽימִינֹ֞ו הָיָ֣ה׀ הַקֶּ֣סֶם יְרוּשָׁלִַ֗ם ,רָאָ֖ה ,ימִינֹ֞ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,570867,570868
"('Ezekiel', 22, 18)-('Ezekiel', 22, 18)",הָיוּ־לִ֥י בֵֽית־יִשְׂרָאֵ֖ל לְסִ֑יג כֻּלָּ֡ם נְ֠חֹשֶׁת וּבְדִ֨יל וּבַרְזֶ֤ל וְעֹופֶ֨רֶת֙ בְּתֹ֣וךְ כּ֔וּר ,הָיוּ־,כֻּלָּ֡ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,570996,570997
"('Ezekiel', 23, 24)-('Ezekiel', 23, 24)",צִנָּ֤ה וּמָגֵן֙ וְקֹובַ֔ע יָשִׂ֥ימוּ עָלַ֖יִךְ סָבִ֑יב וְנָתַתִּ֤י לִפְנֵיהֶם֙ מִשְׁפָּ֔ט ,יָשִׂ֥ימוּ ,פְנֵיהֶם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,571149,571150
"('Ezekiel', 23, 37)-('Ezekiel', 23, 37)",כִּ֣י נִאֵ֗פוּ וְדָם֙ בִּֽידֵיהֶ֔ן ,נִאֵ֗פוּ ,ידֵיהֶ֔ן ,"('p3', 'unknown', 'pl')","('p3', 'f', 'pl')",,571200,571201
"('Ezekiel', 23, 37)-('Ezekiel', 23, 37)",וְאֶת־גִּלּֽוּלֵיהֶ֖ן נִאֵ֑פוּ וְגַ֤ם אֶת־בְּנֵיהֶן֙ ,נִאֵ֑פוּ ,בְּנֵיהֶן֙ ,"('p3', 'unknown', 'pl')","('p3', 'f', 'pl')",,571202,571203
"('Ezekiel', 26, 5)-('Ezekiel', 26, 6)",וְהָיְתָ֥ה לְבַ֖ז לַגֹּויִֽם׃ וּבְנֹותֶ֨יהָ֙ ,הָיְתָ֥ה ,בְנֹותֶ֨יהָ֙ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,571475,571476
"('Ezekiel', 27, 11)-('Ezekiel', 27, 11)",וְגַ֨מָּדִ֔ים בְּמִגְדְּלֹותַ֖יִךְ הָי֑וּ שִׁלְטֵיהֶ֞ם תִּלּ֤וּ עַל־חֹומֹותַ֨יִךְ֙ סָבִ֔יב ,הָי֑וּ ,שִׁלְטֵיהֶ֞ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,571582,571583
"('Ezekiel', 27, 35)-('Ezekiel', 27, 35)",כֹּ֚ל יֹשְׁבֵ֣י הָאִיִּ֔ים שָׁמְמ֖וּ עָלָ֑יִךְ וּמַלְכֵיהֶם֙ שָׂ֣עֲרוּ שַׂ֔עַר ,שָׁמְמ֖וּ ,מַלְכֵיהֶם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,571645,571646
"('Ezekiel', 28, 26)-('Ezekiel', 28, 26)",וְיָ֣דְע֔וּ כִּ֛י אֲנִ֥י יְהוָ֖ה אֱלֹהֵיהֶֽם׃ ס ,יָ֣דְע֔וּ ,אֱלֹהֵיהֶֽם׃ ס ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,571762,571763
"('Ezekiel', 32, 10)-('Ezekiel', 32, 10)",וּמַלְכֵיהֶם֙ יִשְׂעֲר֤וּ עָלֶ֨יךָ֙ שַׂ֔עַר בְּעֹופְפִ֥י חַרְבִּ֖י עַל־פְּנֵיהֶ֑ם ,יִשְׂעֲר֤וּ ,פְּנֵיהֶ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,572067,572068
"('Ezekiel', 33, 5)-('Ezekiel', 33, 5)",וְלֹ֣א נִזְהָ֔ר דָּמֹ֖ו בֹּ֣ו יִֽהְיֶ֑ה ,נִזְהָ֔ר ,דָּמֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,572180,572181
