reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Proverbs', 6, 30)-('Proverbs', 6, 30)",כִּ֣י יִגְנֹ֑וב לְמַלֵּ֥א נַ֝פְשֹׁ֗ו ,יִגְנֹ֑וב ,נַ֝פְשֹׁ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589785,589786
"('Proverbs', 6, 33)-('Proverbs', 6, 33)",נֶֽגַע־וְקָלֹ֥ון יִמְצָ֑א וְ֝חֶרְפָּתֹ֗ו לֹ֣א תִמָּחֶֽה׃ ,יִמְצָ֑א ,חֶרְפָּתֹ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589795,589796
"('Proverbs', 7, 23)-('Proverbs', 7, 23)",וְלֹֽא־יָ֝דַ֗ע כִּֽי־בְנַפְשֹׁ֥ו הֽוּא׃ פ ,יָ֝דַ֗ע ,נַפְשֹׁ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,589859,589860
"('Proverbs', 7, 26)-('Proverbs', 7, 26)",כִּֽי־רַבִּ֣ים חֲלָלִ֣ים הִפִּ֑ילָה וַ֝עֲצֻמִ֗ים כָּל־הֲרֻגֶֽיהָ׃ ,הִפִּ֑ילָה ,הֲרֻגֶֽיהָ׃ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,589867,589868
"('Proverbs', 23, 7)-('Proverbs', 23, 7)",יֹ֣אמַר לָ֑ךְ וְ֝לִבֹּ֗ו בַּל־עִמָּֽךְ׃ ,יֹ֣אמַר ,לִבֹּ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,591054,591055
"('Proverbs', 23, 31)-('Proverbs', 23, 32)",יִ֝תְהַלֵּ֗ךְ בְּמֵישָׁרִֽים׃ אַ֭חֲרִיתֹו כְּנָחָ֣שׁ יִשָּׁ֑ךְ ,יִ֝תְהַלֵּ֗ךְ ,אַ֭חֲרִיתֹו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,591120,591121
"('Proverbs', 30, 11)-('Proverbs', 30, 11)",דֹּ֭ור אָבִ֣יו יְקַלֵּ֑ל וְאֶת־אִ֝מֹּ֗ו לֹ֣א יְבָרֵֽךְ׃ ,יְקַלֵּ֑ל ,אִ֝מֹּ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,591660,591661
"('Song_of_songs', 4, 2)-('Song_of_songs', 4, 2)",שֶׁעָל֖וּ מִן־הָרַחְצָ֑ה שֶׁכֻּלָּם֙ מַתְאִימֹ֔ות ,עָל֖וּ ,כֻּלָּם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,592480,592481
"('Song_of_songs', 6, 6)-('Song_of_songs', 6, 6)",שֶׁעָל֖וּ מִן־הָרַחְצָ֑ה שֶׁכֻּלָּם֙ מַתְאִימֹ֔ות ,עָל֖וּ ,כֻּלָּם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,592631,592632
"('Ecclesiastes', 3, 14)-('Ecclesiastes', 3, 14)",וְהָאֱלֹהִ֣ים עָשָׂ֔ה שֶׁיִּֽרְא֖וּ מִלְּפָנָֽיו׃ ,עָשָׂ֔ה ,פָנָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,593064,593065
