reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
Exodus 36:24,וְאַרְבָּעִים֙ אַדְנֵי־כֶ֔סֶף עָשָׂ֕ה תַּ֖חַת עֶשְׂרִ֣ים הַקְּרָשִׁ֑ים שְׁנֵ֨י אֲדָנִ֜ים תַּֽחַת־הַקֶּ֤רֶשׁ הָאֶחָד֙ לִשְׁתֵּ֣י יְדֹתָ֔יו ,,,עָשָׂ֕ה ,יְדֹתָ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WxQ0,Ellp,524760,524761
Exodus 37:10,וַיַּ֥עַשׂ אֶת־הַשֻּׁלְחָ֖ן עֲצֵ֣י שִׁטִּ֑ים אַמָּתַ֤יִם אָרְכֹּו֙ ,,,יַּ֥עַשׂ ,אָרְכֹּו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,524819,524820
Exodus 37:13,וַיִּתֵּן֙ אֶת־הַטַּבָּעֹ֔ת עַ֚ל אַרְבַּ֣ע הַפֵּאֹ֔ת אֲשֶׁ֖ר לְאַרְבַּ֥ע רַגְלָֽיו׃ ,,,יִּתֵּן֙ ,רַגְלָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,524828,524829
Exodus 37:25,וַיַּ֛עַשׂ אֶת־מִזְבַּ֥ח הַקְּטֹ֖רֶת עֲצֵ֣י שִׁטִּ֑ים אַמָּ֣ה אָרְכֹּו֩ ,,,יַּ֛עַשׂ ,אָרְכֹּו֩ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,524864,524865
Exodus 38:8,וַיַּ֗עַשׂ אֵ֚ת הַכִּיֹּ֣ור נְחֹ֔שֶׁת וְאֵ֖ת כַּנֹּ֣ו נְחֹ֑שֶׁת ,,,יַּ֗עַשׂ ,כַּנֹּ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Ellp,524897,524898
Numbers 31:9-10,וְאֵ֨ת כָּל־בְּהֶמְתָּ֧ם וְאֶת־כָּל־מִקְנֵהֶ֛ם וְאֶת־כָּל־חֵילָ֖ם בָּזָֽזוּ׃ וְאֵ֤ת כָּל־עָרֵיהֶם֙ בְּמֹ֣ושְׁבֹתָ֔ם וְאֵ֖ת כָּל־טִֽירֹתָ֑ם שָׂרְפ֖וּ בָּאֵֽשׁ׃ ,,,בָּזָֽזוּ׃ ,עָרֵיהֶם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,WxQ0,531877,531878
Numbers 36:12,מִֽמִּשְׁפְּחֹ֛ת בְּנֵֽי־מְנַשֶּׁ֥ה בֶן־יֹוסֵ֖ף הָי֣וּ לְנָשִׁ֑ים וַתְּהִי֙ נַחֲלָתָ֔ן עַל־מַטֵּ֖ה מִשְׁפַּ֥חַת אֲבִיהֶֽן׃ ,,,הָי֣וּ ,נַחֲלָתָ֔ן ,"('p3', 'unknown', 'pl')","('p3', 'f', 'pl')",xQt0,WayX,532486,532487
Deuteronomy 3:11,כִּ֣י רַק־עֹ֞וג מֶ֣לֶךְ הַבָּשָׁ֗ן נִשְׁאַר֮ מִיֶּ֣תֶר הָרְפָאִים֒ הִנֵּ֤ה עַרְשֹׂו֙ עֶ֣רֶשׂ בַּרְזֶ֔ל ,,,נִשְׁאַר֮ ,עַרְשֹׂו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",XQtl,NmCl,532873,532874
Deuteronomy 9:21,עַ֥ד אֲשֶׁר־דַּ֖ק לְעָפָ֑ר וָֽאַשְׁלִךְ֙ אֶת־עֲפָרֹ֔ו אֶל־הַנַּ֖חַל ,,,דַּ֖ק ,עֲפָרֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Way0,533695,533696
Deuteronomy 33:21,צִדְקַ֤ת יְהוָה֙ עָשָׂ֔ה וּמִשְׁפָּטָ֖יו עִם־יִשְׂרָאֵֽל׃ ס ,,,עָשָׂ֔ה ,מִשְׁפָּטָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,Ellp,536436,536437
