reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
Nehemiah 3:8-9,וַיַּֽעַזְבוּ֙ יְר֣וּשָׁלִַ֔ם עַ֖ד הַחֹומָ֥ה הָרְחָבָֽה׃ ס וְעַל־יָדָ֤ם הֶחֱזִיק֙ רְפָיָ֣ה בֶן־ח֔וּר שַׂ֕ר חֲצִ֖י פֶּ֥לֶךְ יְרוּשָׁלִָֽם׃ ס ,,,יַּֽעַזְבוּ֙ ,יָדָ֤ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQX,597983,597984
Nehemiah 6:18-19,וִֽיהֹוחָנָ֣ן בְּנֹ֔ו לָקַ֕ח אֶת־בַּת־מְשֻׁלָּ֖ם בֶּ֥ן בֶּֽרֶכְיָֽה׃ גַּ֣ם טֹובֹתָ֗יו הָי֤וּ אֹמְרִים֙ לְפָנַ֔י ,,,לָקַ֕ח ,טֹובֹתָ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,xQt0,598335,598336
Nehemiah 7:61,וְלֹ֣א יָכְל֗וּ לְהַגִּ֤יד בֵּית־אֲבֹותָם֙ וְזַרְעָ֔ם ,,,יָכְל֗וּ ,אֲבֹותָם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,InfC,598432,598433
Nehemiah 9:11,וַיַּֽעַבְר֥וּ בְתֹוךְ־הַיָּ֖ם בַּיַּבָּשָׁ֑ה וְֽאֶת־רֹ֨דְפֵיהֶ֜ם הִשְׁלַ֧כְתָּ בִמְצֹולֹ֛ת ,,,יַּֽעַבְר֥וּ ,רֹ֨דְפֵיהֶ֜ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQ0,598596,598597
Nehemiah 9:17,וַיִּתְּנוּ־רֹ֛אשׁ לָשׁ֥וּב לְעַבְדֻתָ֖ם בְּמִרְיָ֑ם ,,,יִּתְּנוּ־,עַבְדֻתָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,InfC,598623,598624
Nehemiah 9:21,לֹ֣א חָסֵ֑רוּ שַׂלְמֹֽתֵיהֶם֙ לֹ֣א בָל֔וּ ,,,חָסֵ֑רוּ ,שַׂלְמֹֽתֵיהֶם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQt0,XQtl,598645,598646
Nehemiah 9:21,שַׂלְמֹֽתֵיהֶם֙ לֹ֣א בָל֔וּ וְרַגְלֵיהֶ֖ם לֹ֥א בָצֵֽקוּ׃ ,,,בָל֔וּ ,רַגְלֵיהֶ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",XQtl,WXQt,598646,598647
Nehemiah 9:22-23,וַיִּֽירְשׁ֞וּ אֶת־אֶ֣רֶץ סִיחֹ֗ון וְאֶת־אֶ֨רֶץ֙ מֶ֣לֶךְ חֶשְׁבֹּ֔ון וְאֶת־אֶ֖רֶץ עֹ֥וג מֶֽלֶךְ־הַבָּשָֽׁן׃ וּבְנֵיהֶ֣ם הִרְבִּ֔יתָ כְּכֹכְבֵ֖י הַשָּׁמָ֑יִם ,,,יִּֽירְשׁ֞וּ ,בְנֵיהֶ֣ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQ0,598650,598651
Nehemiah 9:24,וַיִּֽירְשׁ֣וּ אֶת־הָאָ֔רֶץ וַתַּכְנַ֨ע לִפְנֵיהֶ֜ם אֶת־יֹשְׁבֵ֤י הָאָ֨רֶץ֙ הַכְּנַ֣עֲנִ֔ים ,,,יִּֽירְשׁ֣וּ ,פְנֵיהֶ֜ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Way0,598657,598658
Nehemiah 9:29,וַיִּתְּנ֤וּ כָתֵף֙ סֹורֶ֔רֶת וְעָרְפָּ֥ם הִקְשׁ֖וּ ,,,יִּתְּנ֤וּ ,עָרְפָּ֥ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQ0,598700,598701
1_Chronicles 4:39,וַיֵּלְכוּ֙ לִמְבֹ֣וא גְדֹ֔ר עַ֖ד לְמִזְרַ֣ח הַגָּ֑יְא לְבַקֵּ֥שׁ מִרְעֶ֖ה לְצֹאנָֽם׃ ,,,יֵּלְכוּ֙ ,צֹאנָֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,InfC,599482,599483
1_Chronicles 10:9,וַיְשַׁלְּח֨וּ בְאֶֽרֶץ־פְלִשְׁתִּ֜ים סָבִ֗יב לְבַשֵּׂ֛ר אֶת־עֲצַבֵּיהֶ֖ם וְאֶת־הָעָֽם׃ ,,,יְשַׁלְּח֨וּ ,עֲצַבֵּיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,InfC,599969,599970
1_Chronicles 12:17-18,וַיָּבֹ֗אוּ מִן־בְּנֵ֤י בִנְיָמִן֙ וִֽיהוּדָ֔ה עַד־לַמְצָ֖ד לְדָוִֽיד׃ וַיֵּצֵ֣א דָוִיד֮ לִפְנֵיהֶם֒ ,,,יָּבֹ֗אוּ ,פְנֵיהֶם֒ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",WayX,WayX,600151,600152
1_Chronicles 19:9,אֲשֶׁר־בָּ֔אוּ לְבַדָּ֖ם בַּשָּׂדֶֽה׃ ,,,בָּ֔אוּ ,בַדָּ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQt0,NmCl,600774,600775
1_Chronicles 21:20,וַיַּרְא֙ אֶת־הַמַּלְאָ֔ךְ וְאַרְבַּ֧עַת בָּנָ֛יו עִמֹּ֖ו מִֽתְחַבְּאִ֑ים ,,,יַּרְא֙ ,בָּנָ֛יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Ptcp,600962,600963
2_Chronicles 3:2,וַ֠יָּחֶל לִבְנֹ֞ות בַּחֹ֤דֶשׁ הַשֵּׁנִי֙ בַּשֵּׁנִ֔י בִּשְׁנַ֥ת אַרְבַּ֖ע לְמַלְכוּתֹֽו׃ ,,,יָּחֶל ,מַלְכוּתֹֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,601855,601856
2_Chronicles 3:8,וַיַּ֨עַשׂ֙ אֶת־בֵּֽית־קֹ֣דֶשׁ הַקֳּדָשִׁ֔ים אָרְכֹּ֞ו עַל־פְּנֵ֤י רֹֽחַב־הַבַּ֨יִת֙ אַמֹּ֣ות עֶשְׂרִ֔ים ,,,יַּ֨עַשׂ֙ ,אָרְכֹּ֞ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,601873,601874
2_Chronicles 8:6,אֲשֶׁ֤ר חָשַׁק֙ לִבְנֹ֤ות בִּירֽוּשָׁלִַ֨ם֙ וּבַלְּבָנֹ֔ון וּבְכֹ֖ל אֶ֥רֶץ מֶמְשַׁלְתֹּֽו׃ ,,,חָשַׁק֙ ,מֶמְשַׁלְתֹּֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,InfC,602375,602376
2_Chronicles 9:1,וַתְּדַבֵּ֣ר עִמֹּ֔ו אֵ֛ת כָּל־אֲשֶׁ֥ר הָיָ֖ה עִם־לְבָבָֽהּ׃ ,,,תְּדַבֵּ֣ר ,לְבָבָֽהּ׃ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,xQt0,602424,602425
2_Chronicles 11:16,בָּ֚אוּ יְר֣וּשָׁלִַ֔ם לִזְבֹּ֕וחַ לַיהוָ֖ה אֱלֹהֵ֥י אֲבֹותֵיהֶֽם׃ ,,,בָּ֚אוּ ,אֲבֹותֵיהֶֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",ZQt0,InfC,602661,602662
2_Chronicles 13:13,וַיִּֽהְיוּ֙ לִפְנֵ֣י יְהוּדָ֔ה וְהַמַּאְרָ֖ב מֵאַחֲרֵיהֶֽם׃ ,,,יִּֽהְיוּ֙ ,אַחֲרֵיהֶֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Ellp,602809,602810
2_Chronicles 14:4,וַיָּ֨סַר֙ מִכָּל־עָרֵ֣י יְהוּדָ֔ה אֶת־הַבָּמֹ֖ות וְאֶת־הַֽחַמָּנִ֑ים וַתִּשְׁקֹ֥ט הַמַּמְלָכָ֖ה לְפָנָֽיו׃ ,,,יָּ֨סַר֙ ,פָנָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,602849,602850
2_Chronicles 15:12,וַיָּבֹ֣אוּ בַבְּרִ֔ית לִדְרֹ֕ושׁ אֶת־יְהוָ֖ה אֱלֹהֵ֣י אֲבֹותֵיהֶ֑ם בְּכָל־לְבָבָ֖ם וּבְכָל־נַפְשָֽׁם׃ ,,,יָּבֹ֣אוּ ,אֲבֹותֵיהֶ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,InfC,602944,602945
2_Chronicles 15:15,וַיִּשְׂמְח֨וּ כָל־יְהוּדָ֜ה עַל־הַשְּׁבוּעָ֗ה כִּ֤י בְכָל־לְבָבָם֙ נִשְׁבָּ֔עוּ ,,,יִּשְׂמְח֨וּ ,לְבָבָם֙ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",WayX,xQt0,602950,602951
2_Chronicles 15:15,כִּ֤י בְכָל־לְבָבָם֙ נִשְׁבָּ֔עוּ וּבְכָל־רְצֹונָ֣ם בִּקְשֻׁ֔הוּ ,,,נִשְׁבָּ֔עוּ ,רְצֹונָ֣ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQt0,WxQ0,602951,602952
2_Chronicles 17:3-4,וְלֹ֥א דָרַ֖שׁ לַבְּעָלִֽים׃ כִּ֠י לֵֽאלֹהֵ֤י אָבִיו֙ דָּרָ֔שׁ ,,,דָרַ֖שׁ ,אָבִיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WxQ0,xQt0,603033,603034
2_Chronicles 17:4,כִּ֠י לֵֽאלֹהֵ֤י אָבִיו֙ דָּרָ֔שׁ וּבְמִצְוֹתָ֖יו הָלָ֑ךְ ,,,דָּרָ֔שׁ ,מִצְוֹתָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,WxQ0,603034,603035
2_Chronicles 20:27,וַ֠יָּשֻׁבוּ כָּל־אִ֨ישׁ יְהוּדָ֤ה וִֽירוּשָׁלִַ֨ם֙ וִֽיהֹושָׁפָ֣ט בְּרֹאשָׁ֔ם ,,,יָּשֻׁבוּ ,רֹאשָׁ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",WayX,NmCl,603443,603444
2_Chronicles 22:3,גַּם־ה֣וּא הָלַ֔ךְ בְּדַרְכֵ֖י בֵּ֣ית אַחְאָ֑ב כִּ֥י אִמֹּ֛ו הָיְתָ֥ה יֹֽועַצְתֹּ֖ו ,,,הָלַ֔ךְ ,אִמֹּ֛ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",XQtl,XQtl,603566,603567
2_Chronicles 22:10,וַעֲתַלְיָ֨הוּ֙ אֵ֣ם אֲחַזְיָ֔הוּ רָאֲתָ֖ה כִּ֣י מֵ֣ת בְּנָ֑הּ ,,,רָאֲתָ֖ה ,בְּנָ֑הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",WXQt,xQtX,603607,603608
2_Chronicles 24:18,וַיַּֽעַבְד֥וּ אֶת־הָאֲשֵׁרִ֖ים וְאֶת־הָֽעֲצַבִּ֑ים וַֽיְהִי־קֶ֗צֶף עַל־יְהוּדָה֙ וִיר֣וּשָׁלִַ֔ם בְּאַשְׁמָתָ֖ם זֹֽאת׃ ,,,יַּֽעַבְד֥וּ ,אַשְׁמָתָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WayX,603787,603788
2_Chronicles 24:23,וַיַּשְׁחִ֛יתוּ אֶת־כָּל־שָׂרֵ֥י הָעָ֖ם מֵעָ֑ם וְכָל־שְׁלָלָ֥ם שִׁלְּח֖וּ לְמֶ֥לֶךְ דַּרְמָֽשֶׂק׃ ,,,יַּשְׁחִ֛יתוּ ,שְׁלָלָ֥ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQ0,603812,603813
2_Chronicles 24:24,כִּי֩ בְמִצְעַ֨ר אֲנָשִׁ֜ים בָּ֣אוּ׀ חֵ֣יל אֲרָ֗ם וַֽיהוָה֙ נָתַ֨ן בְּיָדָ֥ם חַ֨יִל֙ לָרֹ֣ב מְאֹ֔ד ,,,בָּ֣אוּ׀ ,יָדָ֥ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",xQtX,WXQt,603814,603815
2_Chronicles 26:15-16,עַ֥ד כִּֽי־חָזָֽק׃ וּכְחֶזְקָתֹ֗ו גָּבַ֤הּ לִבֹּו֙ ,,,חָזָֽק׃ ,חֶזְקָתֹ֗ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,WxQX,604033,604034
2_Chronicles 28:15,וַיַּחֲזִ֣יקוּ בַשִּׁבְיָ֗ה וְכָֽל־מַעֲרֻמֵּיהֶם֮ הִלְבִּ֣ישׁוּ מִן־הַשָּׁלָל֒ ,,,יַּחֲזִ֣יקוּ ,מַעֲרֻמֵּיהֶם֮ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WxQ0,604161,604162
2_Chronicles 30:27,וַיְבָרֲכ֣וּ אֶת־הָעָ֔ם וַיִּשָּׁמַ֖ע בְּקֹולָ֑ם ,,,יְבָרֲכ֣וּ ,קֹולָ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Way0,604466,604467
2_Chronicles 30:27,וַיִּשָּׁמַ֖ע בְּקֹולָ֑ם וַתָּבֹ֧וא תְפִלָּתָ֛ם לִמְעֹ֥ון קָדְשֹׁ֖ו לַשָּׁמָֽיִם׃ פ ,,,יִּשָּׁמַ֖ע ,קָדְשֹׁ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,604467,604468
2_Chronicles 31:21,אֲשֶׁר־הֵחֵ֣ל׀ בַּעֲבֹודַ֣ת בֵּית־הָאֱלֹהִ֗ים וּבַתֹּורָה֙ וּבַמִּצְוָ֔ה לִדְרֹ֖שׁ לֵֽאלֹהָ֑יו ,,,הֵחֵ֣ל׀ ,אלֹהָ֑יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",xQt0,InfC,604544,604545
2_Chronicles 34:25,וַֽיְקַטְּרוּ֙ לֵֽאלֹהִ֣ים אֲחֵרִ֔ים לְמַ֨עַן֙ הַכְעִיסֵ֔נִי בְּכֹ֖ל מַעֲשֵׂ֣י יְדֵיהֶ֑ם ,,,יְקַטְּרוּ֙ ,יְדֵיהֶ֑ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,InfC,604904,604905
